#,Emoticon,Meaning,Votes
356,(-(-_(-_-)_-)-),Evil aliens,200.0
357,>:3,Evil Cuteness,175.0
358,(.\|/.),Evil Face,175.0
359,>:),Evil Grin,100.0
360,>:D,Evil Laugh,192.0
361,>=),Evil Smile,300.0
362,/^^\!,Exasperated,350.0
363,ヽ(★ω★)ノ,Excited,170.0
364,#-),Exhausted,200.0
365,†_(ﾟｰﾟ*)β,Exorcism,271.0
366,<•>,Eye,500.0
367,P-),Eye Patch,300.0
368,٩◔̯◔۶,Eye Roll With Hands Up,325.0
369,8-),Eye-Rolling,500.0
370,}=D,Eyebrows,300.0
371,-@--@-,Eyeglasses,300.0
372,# -,Eyepatch,300.0
373,(/ _ < ),Facepalm,214.0
374,:&,Fail,300.0
375,(6.6),Fainting,400.0
376,(ñ_ñ),Fake Smile,247.0
377,(p ^^)=====O,Falcon Punch,350.0
378,(+.+)(-.-)(_ _),Falling Asleep,300.0
379,?:-),Fancy Hair,300.0
380,"^,..,^",Fangs,200.0
381,＼(｀0´)／,Fed Up,267.0
382,(ง •̀_•́)ง,Feisty,143.0
383,=^O.O^=,Felix the Cat,250.0
384,O<-<=,Female,300.0
385,qo{8<]:,Female skateboarder,300.0
386,G('.'G),Fighter,300.0
387,(ง •̀ゝ•́)ง,Fighting,200.0
388,(~),Filmstrip,300.0
389,X=,Fingers Crossed,460.0
390,()))))-x,Firecracker,400.0
391,"<"")))><",Fish,118.0
392,<')+++<,Fish Bone,260.0
393,(~),Fish Bowl,400.0
394,( ^□)_へ━━━━━⊃>°))))彡,Fishing,300.0
395,p#d,Fist Bump,400.0
396,i-=<***,Flamethrower,467.0
397,!.'v,Flat Top,400.0
398,ᕙ(`▽´)ᕗ,Flexing,150.0
399,(╯°□°)╯︵ ʞooqǝɔɐɟ,Flipping Facebook,141.0
400,(╯°□°)╯︵ ┻━┻,Flipping Table,133.0
401,(╯°□°）╯︵ ┻━┻,Flipping table,155.0
402,t(-_-t),Flipping the bird,325.0
403,;D,Flirting,300.0
404,;-),Flirty,400.0
405,(ff),Flirty Female,400.0
406,;3,Flirty Grin,400.0
407,(fm),Flirty Male,400.0
408,<-#,Flower,333.0
409,"0==I==,==I===",Flute,450.0
410,D';,FML,400.0
411,O-&-<,Folding Arms,414.0
412,:-!,Foot in Mouth,300.0
413,(),Football,400.0
414,G:-),Football Helmet,300.0
415,=:-H,Football Player,300.0
416,---E,Fork,300.0
417,o^o-o|_,Forklift,475.0
418,|:-<,Forlorn,500.0
419,%%-,Four Leaf Clover,300.0
420,Vm~,Fox,300.0
421,:^{=,Frank Zappa,400.0
422,[:-|I,Frankenstein,200.0
423,(ﾟДﾟ≡ﾟДﾟ),Frantic,233.0
424,ヽ(ﾟДﾟ)ﾉ,Freak Out,175.0
425,:'|,Freezing,400.0
426,P*,French kiss,250.0
427,:pd:,French Kiss,400.0
428,(´∪`*),Friendly,325.0
429,"O O ' '  ( )-( ) "" """,Friends,433.0
430,(／。＼),Frightened,300.0
431,8)~~*,Frog,225.0
432,[II]D,Frosty Mug,300.0
433,ᒄ₍⁽ˆ⁰ˆ⁾₎ᒃ♪♬,Frosty the Snowman,146.0
434,:(,Frown,183.0
435,:-(,Frowning,100.0
436,:-L,Frustrated,150.0
437,(￣┏∞┓￣),Fu Manchu Man,200.0
438,(fubar),FUBAR,250.0
439,|-[#],Fuming,400.0
440,B-},Funny,250.0
441,(ò_ó),Furious,143.0
442,*:*,Fuzzy,300.0
443,: 0=/--,Gag me,350.0
444,:-(*),Gag Me,300.0
445,qB],Gangster,200.0
446,@}:-),Gardener,300.0
447,=:o,Gasp,300.0
448,==[],Gavel,350.0
449,◖⎚∠⎚◗,Geek,243.0
450,3>(,Geezer,400.0
451,(D:-],General,300.0
452,@:i,Genie,150.0
453,4:-),George Washington,450.0
454,d=P,Ghetto,400.0
455,"(>"")>",Ghost,144.0
456,(´・ω・)っ由,Gift,200.0
457,(g),Gift with a Bow,300.0
458,;)),Giggle,200.0
459,(о＾ω＾о),Giggling,225.0
460,༼ つ ◕_◕ ༽つ,Gimme,145.0
461,>:o===Q<,Giraffe,250.0
462,~0(**)0~,Girl,300.0
463,(;´Д`),Giving Up,150.0
464,(;-_-)ノ,Giving up,160.0
465,＼（＾ ＾）／,Glad,200.0
466,>:[,Glaring,300.0
467,\~/,Glass,300.0
468,8-),Glasses,200.0
469,｡◕‿◕｡,Gleeful,187.0
470,(nah),Goat,267.0
471,:-{>,Goatee,300.0
472,o/,Golf,200.0
473,(´ー｀)┌ﾌｯ,Golf Clap,240.0
474,＼（～Ｏ～）／,Good Morning,233.0
475,♪(●′▽`)ﾉ,Good Night,240.0
476,(^ _ ^)/~~,Goodbye,267.0
477,8-],Googly-Eyed,267.0
478,8:],Gorilla,200.0
479,|<:-),Graduate,150.0
480,oO:)&,Grandma,300.0
481,(~};),Grateful Dead,200.0
482,$_$,Greedy,100.0
483,\o o/,Greeting,300.0
484,.'!,Grim,400.0
485,:->,Grin,150.0
486,（￣ー￣）,Grinning,300.0
487,(-_ゞ,Groggy,200.0
488,└(^o^)┐,Grooving,300.0
489,:-!,Gross,450.0
490,l:[',Groucho Marx,400.0
491,[>#<],Grouchy,400.0
492,(‑.‑(‑.‑)‑.‑),Group,450.0
493,>:(,Grumpy,300.0
494,>^︵^<,Grumpy cat,300.0
495,^i^,Guardian Angel,300.0
496,^_^;,Guilty,167.0
497,/) /( || || || (\||/) ) ( (____),Guitar,147.0
498,︻デ═一,Gun,168.0
499,S:~),Guy,350.0
500,$8(),Guy with a Toupee,300.0
501,@:-),Hair,375.0
502,{:-{)},Hairy,400.0
503,L-:,Half Smile,400.0
504,(||],Hamburger,300.0
505,(%),Handcuffs,500.0
506,||||_ _||||,Hands,400.0
507,(:>-<,Hands Up,400.0
508,(handshake),Handshake,267.0
509,&:-],Handsome,200.0
510,^-^,Happy,154.0
511,uwu,Happy Anime Face,232.0
512,*<|:o),Happy Birthday,300.0
513,:-0 hbtu 0-:,Happy Birthday To You,450.0
514,(°̥̥̥̥̥̥̥̥ᴗ°̥̥̥̥̥̥̥̥),Happy crying,200.0
515,UowoU,Happy dog,400.0
516,OwO,Happy furry animal,186.0
517,<^_^>,Happy monkey,400.0
518,":"")",Happy Tears,200.0
519,<]:),Happy wizard,300.0
520,ζ|||),Harp,500.0
521,<~8),Harry Potter,200.0
522,>O<,Harry Potter Snitch,433.0
523,/* *,Harry Potter Wand,400.0
524,#,Hashtag,167.0
525,q=),Hat,150.0
526,d :-o,Hats off to you,250.0
527,"\,,/(>.<)\,,/",Head Banging,450.0
528,(({..})),Headache,300.0
529,(|:-),Headband,300.0
530,(( ＿ ＿)☆ ≡〇,Header,267.0
531,>:^(,Headhunter,400.0
532,oo,Headlights,400.0
533,d(-_-)b,Headphones,133.0
534,dL-_-b,Headset,300.0
535,<3,Heart,143.0
536,./\..|..|....,Heart Monitor,367.0
537,(∿°○°)∿ ︵ ǝʌol,Heartbroken,200.0
538,"\,,/",Heavy Metal,200.0
539,(heidy),Heidy,233.0
540,▼o･_･o▼,Hello,307.0
541,(o´・Υ・)ﾉ･,Help,267.0
542,?:)#,Hema Employee,500.0
543,（。々°）,Herp Derp,140.0
544,|д･),Hiding,175.0
545,( • ∀•)っθΘʘ,Hiding Easter eggs,200.0
546,~~,High Brow,300.0
547,^_^/,High Five,171.0
548,^y^-/|\--Y^,Highway,400.0
549,(✿◠‿◠),Hippie,162.0
550,( ˇ෴ˇ ),Hipster,260.0
551,o->,Hiro,300.0
552,( ｀皿´)｡ﾐ/,Hitting,250.0
553,:-\,Hmmm,400.0
554,(#],Hockey Player,300.0
555,L.,Hockey Stick,400.0
556,L.,Hockey Stick and Puck,300.0
557,8-),Hollywood,400.0
558,(_8^(|),Homer,133.0
559,(( 8n(7),Homer Simpson,267.0
560,o--},Hope,400.0
561,o(^^o)(o^^)o,Hopeful,280.0
562,}:),Horny,240.0
563,O_0 [_],Horror,300.0
564,",//) ,;;' \ ,;;' ( '\ / '\_)",Horse,143.0
565,(h),Hot,250.0
566,┗(･ω･;)┛,How Should I Know,200.0
567,(っ⌒‿⌒)っ,Hug,180.0
568,{*},Hug and Kiss,300.0
569,⊂((・▽・))⊃,Hug me,143.0
570,<(^.^<),Huge,300.0
571,[[ ]],Hugged,350.0
572,(>^_^)><(^o^<),Hugging,183.0
573,<(*.*<),Huggle,200.0
574,:D<,Hugs,200.0
575,{{{***}}},Hugs and Kisses,300.0
576,[•.•ิ],Huh,160.0
577,~!~,Humbled,300.0
578,%*@:-(,Hung Over,300.0
579,:0,Hungry,300.0
580,:!!,Hurry Up,300.0
581,┗( ●-﹏ ｀｡)づ,Hurt,300.0
582,XD,Hyper,200.0
583,-(@ @)- U,Hypnotist,400.0
584,@-),Hypnotized,300.0
585,:^),I Do Not Know,250.0
586,X_X,I Do Not Want to See,250.0
587,_\m/,I Love You,325.0
588,< },Ice Cream,300.0
589,~oO>,Ice Cream Cone,300.0
590,<><,Ichthus,243.0
591,*-:),Idea,200.0
592,*red+u,IM,500.0
593,(＊☉౪ ⊙｡)ﾉ,Imbecile,175.0
594,:!:,Important,400.0
